X,Y,id,nama,npsn,ptk,ptk_laki,ptk_perempuan,pegawai,pegawai_laki,pegawai_perempuan,pd,pd_laki,pd_perempuan,rombel,kabupaten,kode_kabupaten,provinsi,kode_provinsi,alamat,status,jenjang,akreditasi,source,location_status
0,0,"13064",KB DIOBA GITE,"69933824",2,0,2,1,0,1,42,23,19,2,Lebong,"1707",Bengkulu,"17",JALAN DESA KOTA AGUNG,swasta,KB,C,kemdikbud,not-mapped
102.2662,-3.0818,"13065",SDN 55 LEBONG,"10702020",13,3,10,6,2,4,64,41,23,6,Lebong,"1707",Bengkulu,"17",JALAN RAYA KOTA AGUNG,negeri,SD,B,kemdikbud,valid
0,0,"13068",KB AL -HASYR,"70007637",0,0,0,0,0,0,0,0,0,0,Lebong,"1707",Bengkulu,"17",Desa Sebelat Ulu,swasta,KB,,kemdikbud,not-mapped
102.0489741,-2.8788193,"13070",SDN 85 LEBONG,"10703428",9,3,6,3,2,1,44,22,22,6,Lebong,"1707",Bengkulu,"17",Sungai Lisai,negeri,SD,C,kemdikbud,valid
0,0,"55729",TPA BUNDA AT TAHZIEB,"69792459",6,0,6,1,0,1,32,18,14,3,Lebong,"1707",Bengkulu,"17",KIPATIH NO 49,swasta,TPA,C,kemdikbud,not-mapped
0,0,"55730",TK - IT IZZATUL ISLAM,"10703353",9,0,9,1,0,1,81,45,36,9,Lebong,"1707",Bengkulu,"17",KELURAHAN KAMPUNG JAWA,swasta,TK,B,kemdikbud,not-mapped
102.1874883,-3.1131383,"55733",SMPN 10 LEBONG,"10702004",12,4,8,4,2,2,37,24,13,3,Lebong,"1707",Bengkulu,"17",Jln.Lebong Tambang,negeri,SMP,B,kemdikbud,valid
0,0,"55738",TK AISYIYAH 9,"70044043",2,0,2,1,0,1,17,10,7,1,Lebong,"1707",Bengkulu,"17",JL. RIO CENDE DESA TANJUNG BUNGAI II,swasta,TK,,kemdikbud,not-mapped
0,0,"55740",TK WIE MEKAR,"69990834",1,0,1,3,1,2,30,20,10,1,Lebong,"1707",Bengkulu,"17",DESA KARANG ANYAR,swasta,TK,,kemdikbud,not-mapped
0,0,"55741",SPS BINA ILMU,"69912976",0,0,0,0,0,0,0,0,0,0,Lebong,"1707",Bengkulu,"17",Jln. Semelako Atas,swasta,SPS,Tidak Terakreditasi,kemdikbud,not-mapped
102.3973,-3.0937,"55742",SDN 71 LEBONG,"10702038",13,4,9,4,3,1,57,25,32,6,Lebong,"1707",Bengkulu,"17",Karang Anyar,negeri,SD,C,kemdikbud,valid
102.1087,-2.8983,"55752",SMPN 17 LEBONG,"10703086",16,9,7,6,5,1,103,53,50,5,Lebong,"1707",Bengkulu,"17",Jl.Raya Desa Talang Donok-Topos Kec.Topos Kab.Lebong,negeri,SMP,C,kemdikbud,valid
0,0,"55754",TK PAUD MUHAJIRIN,"70038260",2,0,2,1,0,1,15,5,10,2,Lebong,"1707",Bengkulu,"17","DESA BUKIT NIBUNG, KEC. BINGIN KUNING, KAB. LEBONG",swasta,TK,,kemdikbud,not-mapped
